,Id,SalePrice
0,1,206110
1,2,188018
2,3,214551
3,4,167855
4,5,288088
5,6,153462
6,7,283908
7,8,226125
8,9,130012
9,10,121972
10,11,126724
11,12,378283
12,13,129374
13,14,225530
14,15,153476
15,16,137758
16,17,149976
17,18,108017
18,19,152805
19,20,121939
20,21,332526
21,22,128201
22,23,232684
23,24,140626
24,25,150955
25,26,256714
26,27,128810
27,28,300031
28,29,192055
29,30,69763
30,31,85032
31,32,138601
32,33,191957
33,34,170872
34,35,288232
35,36,310845
36,37,149688
37,38,157463
38,39,126946
39,40,83409
40,41,144562
41,42,161203
42,43,147688
43,44,131709
44,45,142299
45,46,286816
46,47,275311
47,48,244653
48,49,94127
49,50,130059
50,51,176049
51,52,115185
52,53,98483
53,54,384299
54,55,120909
55,56,163144
56,57,206517
57,58,194845
58,59,470380
59,60,119122
60,61,171593
61,62,98613
62,63,206765
63,64,130518
64,65,238551
65,66,300166
66,67,233583
67,68,213451
68,69,79022
69,70,222487
70,71,291647
71,72,121388
72,73,197077
73,74,139542
74,75,107182
75,76,90922
76,77,118444
77,78,112948
78,79,121909
79,80,108312
80,81,199486
81,82,173792
82,83,242552
83,84,122672
84,85,164690
85,86,263407
86,87,177191
87,88,158902
88,89,63691
89,90,118454
90,91,101935
91,92,115329
92,93,140984
93,94,164766
94,95,198009
95,96,179513
96,97,222323
97,98,114914
98,99,77411
99,100,117783
100,101,212573
101,102,169453
102,103,118231
103,104,188320
104,105,154592
105,106,254976
106,107,96624
107,108,86524
108,109,113831
109,110,203283
110,111,139306
111,112,171705
112,113,355468
113,114,211416
114,115,229729
115,116,170734
116,117,125605
117,118,150047
118,119,354351
119,120,173599
120,121,161543
121,122,97338
122,123,142851
123,124,158353
124,125,163845
125,126,84369
126,127,128359
127,128,88251
128,129,140259
129,130,134317
130,131,222234
131,132,216920
132,133,148819
133,134,210721
134,135,167074
135,136,179033
136,137,142858
137,138,204453
138,139,249056
